aback	by surprise
infatuate	inspire with unreasoning love or attachment; cause to behave foolishly
infelicitous	inappropriate; ill-chosen; not happy; unfortunate
infer	conclude from evidence or premises; reason from circumstance; surmise
infernal	a lower world of the dead; hell; fiendish; diabolical; abominable; awful
inferno	place or condition suggestive of hell; place of fiery heat or destruction
infinitesimal	immeasurably or incalculably minute
inflection	alteration in pitch or tone of the voice
ingenuous	lacking in sophistication or worldliness; artless; frank; candid
inimical	injurious or harmful in effect; adverse; unfriendly; hostile
inimitable	defying imitation; matchless
iniquity	gross immorality or injustice; wickedness; sin
innate	possessed at birth; inborn; an essential characteristic; inherent; produced by the mind rather than learned through experience
innocuous	having no adverse effect; harmless; not likely to offend or provoke to strong emotion; insipid
innuendo	indirect or subtle, usually derogatory implication in expression; an insinuation
inscrutable	difficult to fathom or understand; impenetrable
insidious	working or spreading harmfully in a subtle or stealthy manner; beguiling but harmful; alluring
insinuate	introduce or otherwise convey (a thought, for example) gradually and insidiously
insipid	lacking flavor or zest; not tasty; lacking excitement, stimulation, or interest; dull
insolent	presumptuous and insulting in manner or speech; arrogant; audaciously rude or disrespectful; impertinent
insouciant	blithe unconcern; nonchalant
insubordinate	not submissive to authority
insufferable	difficult or impossible to endure; intolerable
insuperable	impossible to overcome; insurmountable
insurrection	open revolt against civil authority or a constituted government
integrity	steadfast adherence to a strict moral or ethical code; unimpaired; soundness
intellect	ability to learn and reason; the capacity for knowledge and understanding; ability to think abstractly or profoundly
intelligible	understandable
inter	between; among; to place in a grave or tomb; bury
interminable	seeming to be without an end; endless; tiresomely long; wearisome
interpolate	insert or introduce between other elements or parts
intra	within; during; between layers of
intractable	difficult to manage or govern; stubborn
intrepid	characterized by resolute fearlessness, fortitude, and endurance
intrigue	a secret or underhand scheme; a plot; arouse the interest or curiosity of
intrinsic	essential nature of a thing; inherent
introspection	contemplation of one's own thoughts, feelings, and sensations; self-examination
introvert	to turn or direct inward; one whose thoughts and feelings are directed toward oneself
intuition	act or faculty of knowing or sensing without the use of rational processes; immediate cognition; a perceptive insight
invalid	one who is incapacitated by a chronic illness or disability
invasive	tending to intrude or encroach; given to armed aggression; tendency to spread, especially into healthy tissue
invective	denunciatory or abusive language; vituperation
invidious	tending to rouse ill will, animosity, or resentment
invigilate	to keep watch; especially : to supervise students at an examination; supervise, monitor
invincible	incapable of being overcome or defeated; unconquerable
inviolate	not violated or profaned; intact
ion	an atom or a group of atoms that has acquired a net electric charge by gaining or losing one or more electrons
ionosphere	A region of the earth's atmosphere where ionization caused by incoming solar radiation affects the transmission of radio waves. It extends f
iota	ninth letter of the Greek alphabet; a very small amount; a bit
ipso facto	by the fact itself; by that very fact
irascible	prone to outbursts of temper; easily angered
ire	anger; wrath
irrefutable	impossible to refute or disprove; incontrovertible
irresolute	unsure of how to act or proceed; undecided
irreverence	lack of reverence or due respect
irrupt	to rush in forcibly or violently; (of a natural population) to undergo a sudden upsurge in numbers especially when natural ecological balances and checks are disturbed
Islam	the religion of Muslims, based upon the teachings of Muhammad during the 7th century and now the second largest of the great religions in nu
itinerant	traveling on the job: traveling from place to place, especially to find work or as a part of work
jaded	worn out; wearied; dulled by surfeit; sated; cynically or pretentiously callous
jaunty	having a buoyant or self-confident air; brisk; crisp and dapper in appearance; natty
jeer	speak or shout derisively; mock; abuse vocally; taunt
jetsam	cargo or equipment thrown overboard to lighten a ship in distress
jettison	cast overboard or off
jezebel	a woman who is regarded as evil and scheming
jocose	given to joking; merry; humorous
jocular	characterized by joking
jocund	sprightly and lighthearted in disposition
jovial	marked by hearty conviviality and good cheer
jubilant	exultingly joyful
Jurassic	the time and deposits of the second period of the Mesozoic Era, characterized by the existence of dinosaurs and the appearance of the earlie
juxtapose	to place side by side, especially for comparison or contrast
Kama	the Hindu god of love
karma	the force generated by a person's actions held in Hinduism and Buddhism to perpetuate transmigration and in its ethical consequences to dete
kindred	group of related persons, as a clan or tribe; a person's relatives
kundalini	the yogic life force that is held to lie coiled at the base of the spine until it is aroused and sent to the head to trigger enlightenment
labyrinth	an intricate structure of interconnecting passages through which it is difficult to find one's way; a maze
lackadaisical	lacking spirit, liveliness, or interest; languid
lackluster	lacking in sheen, brilliance, or vitality : dull, mediocre
lament	a passionate expression of grief or sorrow; mourn
laminate	overlay (a flat surface, especially paper) with a layer of plastic or some other protective material
lampoon	a light, good-humored satire
languid	lacking energy or vitality; weak
languish	to be or become weak or feeble; lose strength or vigor
languor	lack of physical or mental energy; listlessness; a dreamy, lazy mood or quality
lap dog	one that is eager to do another's bidding, especially so as to maintain a position of privilege or favor
lascivious	given to or expressing lust; lecherous; exciting sexual desires; salacious
lassitude	a state or feeling of weariness, diminished energy, or listlessness
laud	give praise to; glorify
laudable	deserving commendation; praiseworthy
lavish	immoderate in giving or bestowing; unstinting
lax	lacking in rigor, strictness, or firmness; loose and not easily retained or controlled
lechery	inordinate indulgence in sexual activity
lectern	a stand that serves as a support for the notes or books of a speaker
left	the people and groups who advocate liberal, often radical measures to effect change in the established order, especially in politics, usuall
left wing	the liberal or radical faction of a group
lenient	inclined not to be harsh or strict; merciful, generous, or indulgent
lest	lacking social polish; tactless
lethargy	a state of sluggishness, inactivity, and apathy; a state of unconsciousness resembling deep sleep
leucocyte	white blood cell
leviathan	moving violently; acting rashly
levity	lack of (suitable) seriousness
lewd	preoccupied with sex and sexual desire; lustful; obscene; indecent
lexical	of or relating to words or the vocabulary of a language as distinguished from its grammar and construction
lexicographer	an author or editor of a dictionary
lexicon	a dictionary; a stock of terms used in a particular profession, subject, or style; a vocabulary
libel	a false publication in writing, printing, or typewriting or in signs or pictures that maliciously damages a person's reputation
libel	written defamation
liberal	not limited to or by established, traditional, orthodox, or authoritarian attitudes, views, or dogmas; free from bigotry; favoring proposals
liberate	to set free, as from oppression, confinement, or foreign control
licentious	lacking moral discipline or ignoring legal restraint, especially in sexual conduct
limpid	characterized by transparent clearness; pellucid; easily intelligible; clear; calm and untroubled; serene
lineage	direct descent from a particular ancestor; ancestry; derivation
lingo	language that is unintelligible or unfamiliar; the specialized vocabulary of a particular field or discipline
listless	lacking energy or disinclined to exert effort; lethargic
litany	a liturgical prayer consisting of a series of petitions recited by a leader alternating with fixed responses by the congregation; a repetiti
litigate	to make the subject of a lawsuit; contest at law
litigious	excessively or readily inclined to litigate : inclined to dispute or disagree; argumentative
livid	extremely angry; furious; discolored, as from a bruise; black-and-blue
Locard's Exchange Principle	holds that the perpetrator of a crime will bring something into the crime scene and leave with something from it, and that both can be used as forensic evidence
locution	style of speaking; phraseology
logomachy	a dispute over or about words; a controversy marked by verbiage
loiter	to stand idly about; linger aimlessly; to delay or dawdle
loquacious	very talkative; garrulous
lore	accumulated facts, traditions, or beliefs about a particular subject
lothario	a man whose chief interest is seducing women
louche	not reputable or decent
lubricity	slipperiness; lewdness
lucid	bright; clear; easily understood; intelligible; mentally sound; sane or rational
lugubrious	mournful, dismal, or gloomy, especially to an exaggerated or ludicrous degree
lurid	lighted by ghastly, unnatural light; terrible; causing shock or horror; gruesome
lysin	an antibody that is capable of causing the destruction or dissolution of red blood cells, bacteria, or other cellular elements
macabre	suggesting the horror of death and decay; gruesome
Machiavellian	suggestive of or characterized by expediency, deceit, and cunning
macrobiotic	a diet consisting chiefly of whole grains and beans
Magna Carta	the charter of English political and civil liberties granted by King John at Runnymede in June 1215; a document or piece of legislation that
magnanimous	generous and noble in feeling; generous in forgiving
magnificent	splendid in appearance; grand; grand or noble in thought or deed; exalted
Mahayana	a liberal and theistic branch of Buddhism comprising sects chiefly in China and Japan, recognizing a large body of scripture in addition to
maieutic	relating to or resembling the Socratic method of eliciting new ideas from another
major-domo	the head steward or butler in the household of a sovereign or great noble; one who makes arrangements or directs affairs for another
mala in se	Latin term used to describe conduct that is inherently wrong. It means evil in itself. 
mala prohibita	Latin term used to describe conduct that society prohibits. It means wrong because it is prohibited.
malady	a disease, a disorder, or an ailment; an unwholesome condition
malaise	a vague feeling of bodily discomfort, as at the beginning of an illness; a general sense of depression or unease
malefactor	a person who commits a crime or some other wrong
malevolent	having or exhibiting ill will; wishing harm to others; malicious
malfeasance	wrongdoing or misconduct
malice	a desire to harm others or to see others suffer; extreme ill will or spite
malign	to make evil, harmful, and often untrue statements about; speak evil of; evil in disposition, nature, or intent
manifest	clearly apparent to the sight or understanding; obvious; to show or demonstrate plainly; reveal
manifesto	a public declaration of principles, policies, or intentions, especially of a political nature
manna	in the Old Testament, the food miraculously provided for the Israelites in the wilderness during their flight from Egypt; spiritual nourishm
mansuetude	the quality or state of being gentle : meekness, tameness
maraud	to rove and raid in search of booty; to raid or pillage for plunder
martyr	one who endures great suffering
marvel	strong surprise; astonishment; wonder
marvelous	causing wonder or astonishment; of the highest or best kind or quality; first-rate
masochism	sexual gratification achieved by humiliation and the acceptance of physical and verbal abuse
matriarch	a woman who rules a family, clan, or tribe; a highly respected woman who is a mother
maudlin	effusively or tearfully sentimental
maxim	a succinct formulation of a fundamental principle, general truth, or rule of conduct
mayhem	violent or damaging disorder; chaos
mea culpa	a formal apology or acknowledgment of responsibility or guilt
meander	to follow a winding or intricate course; to wander aimlessly or casually without urgent destination : ramble
mecca	place that is regarded as the center of an activity or interest; goal to which adherents of a religious faith or practice fervently aspire
mechanics	branch of physics that is concerned with the analysis of the action of forces on matter or material systems
meditate	to engage in contemplation, especially of a spiritual or devotional nature
medulla	the inner core of certain organs or body structures, such as the marrow of bone
medulla oblongata	the lowermost portion of the vertebrate brain, continuous with the spinal cord, responsible for the control of respiration, circulation, and
meek	showing patience and humility; gentle; easily imposed on; submissive
melancholy	sadness or depression of the spirits; gloom; pensive reflection or contemplation
melange	a mixture
meld	to blend or mix together : merge
meliorate	to make better; improve
meme	an idea, behavior, or style that spreads from person to person within a culture; a humorous image, video, piece of text, etc. that is copied
menagerie	a diverse group; a collection of live animals for study or display
mendacious	not telling the truth; lying
mens rea	Latin term used to describe the state of mind of a criminal. It means guilty mind.
mentor	a wise and trusted counselor or teacher
mercenary	motivated solely by a desire for monetary or material gain; hired for service in a foreign army
mesmerize	to spellbind; enthrall; to hypnotize
meso-	in the middle; intermediate
mesosphere	the portion of the atmosphere from about 30 to 80 kilometers (20 to 50 miles) above the earth's surface, characterized by temperatures that
Mesozoic	the third era of geologic time, including the Triassic Period, the Jurassic Period, and the Cretaceous Period and characterized by the devel
metaphor	a figure of speech in which a word or phrase that ordinarily designates one thing is used to designate another, thus making an implicit comp
meticulous	extremely careful and precise
mien	bearing or manner, especially as it reveals an inner state of mind; an appearance or aspect
milieu	an environment or a setting
minion	an obsequious follower or dependent; a sycophant; a subordinate official; one who is highly esteemed or favored; a darling
minutia	a small or trivial detail
minx	a girl or young woman who is considered pert, flirtatious, or impudent
mire	an area of wet, soggy, muddy ground; a bog; a disadvantageous or difficult condition or situation
mirth	gladness and gaiety, especially when expressed by laughter
miscreant	an evildoer; a villain; an infidel; a heretic
misnomer	the misnaming of a person in a legal instrument; a use of a wrong or inappropriate name; a wrong name or inappropriate designation
misogyny	dislike of, contempt for, or ingrained prejudice against women
missive	letter or written communication
mitigate	to moderate (a quality or condition) in force or intensity; alleviate
mitosis	the entire process of cell division including division of the nucleus and the cytoplasm
mnemonic	intended to assist the memory
modicum	a small, moderate, or token amount
mollify	to calm in temper or feeling; soothe
mongrel	an animal or a plant resulting from various interbreedings, especially a dog of mixed or undetermined breed
monolith	a large block of stone, especially one used in architecture or sculpture
monotheism	the doctrine or belief that there is only one God
monotonous	sounded or spoken in an unvarying tone; tediously repetitious or lacking in variety
moral	the judgment of the goodness or badness of human action and character; teaching or exhibiting goodness or correctness of character and behave
morale	the state of the spirits of a person or group as exhibited by confidence, cheerfulness, discipline, and willingness to perform assigned task
morals	rules or habits of conduct, especially of sexual conduct, with reference to standards of right and wrong
morass	an area of low-lying, soggy ground; something that hinders, engulfs, or overwhelms
moratorium	a suspension of an ongoing or planned activity
moribund	approaching death; about to die; on the verge of becoming obsolete
morose	sullenly melancholy; gloomy
morpheme	a meaningful linguistic unit consisting of a word, such as man, or a word element, such as -ed in walked, that cannot be divided into smalle
mortify	to humiliate or shame
motive	an emotion, desire, physiological need, or similar impulse that acts as an incitement to action
motley	having elements of great variety or incongruity; heterogeneous; having many colors; variegated; parti-colored
mulatto	a person having one white and one black parent
multifarious	having great variety; diverse
mundane	typical of this world; secular; commonplace; ordinary
munificent	very liberal in giving; generous
muse	to be absorbed in one's thoughts; engage in meditation; to consider or say thoughtfully
myopic	a visual defect in which distant objects appear blurred because their images are focused in front of the retina rather than on it; nearsight
myriad	a very large, indefinite number; innumerable
mystic	of or relating to religious mysteries or occult rites and practices
narcissim	excessive interest in oneself
narcosis	a condition of deep stupor or unconsciousness produced by a drug or other chemical substance
nary	not one
nascent	coming into existence; emerging
natal	of, relating to, or accompanying birth
nativity	the process or circumstances of being born; especially, capitalized : the birth of Jesus
natty	neat, trim, and smart; dapper
naïve	lacking worldliness and sophistication; artless; simple and credulous as a child; ingenuous; lacking critical ability or analytical insight;
nebbish	a person, especially a man, who is regarded as pitifully ineffectual, timid, or submissive
nebula	a diffuse mass of interstellar dust or gas or both, visible as luminous patches or areas of darkness depending on the way the mass absorbs o
nebulous	cloudy, misty, or hazy; lacking definite form or limits; vague
necro-	or necr- pref. dead body; corpse; death
necromancy	the practice of supposedly communicating with the spirits of the dead in order to predict the future; black magic; sorcery
necrosis	death of cells or tissues through injury or disease, especially in a localized area of the body
nefarious	infamous by way of being extremely wicked
nemesis	a source of harm or ruin; an opponent that cannot be beaten or overcome; in Greek Mythology, the goddess of retributive justice or vengeance
neo-	new; recent
Neolithic	of or relating to the cultural period beginning around 10,000 B.C. in the Middle East and later elsewhere, characterized by the development
neonatal	of or relating to newborn infants or an infant
neophyte	a beginner or novice; a recent convert to a belief; a proselyte
nepotism	favoritism shown or patronage granted to relatives, as in business
net neutrality	the idea, principle, or requirement that Internet service providers should or must treat all Internet data as the same regardless of its kind, source, or destination
neurosis	mental or emotional disorder, such as hypochondria or neurasthenia, arising from no apparent organic lesion or change and involving symptoms
neutrino	any of three electrically neutral subatomic particles in the lepton family
nexus	a means of connection; a link or tie; the core or center
nihilism	an extreme form of skepticism that denies all existence; a doctrine holding that all values are baseless and that nothing can be known or co
nimbus	a cloudy radiance said to surround a classical deity when on earth; a radiant light that appears usually in the form of a circle or halo abo
nirvana	an ideal condition of rest, harmony, stability, or joy; Buddhism - the ineffable ultimate in which one has attained disinterested wisdom and
noel	a Christmas carol; capitalized: Christmas
noisome	offensive to the point of arousing disgust; foul; harmful or dangerous
nom de guerre	a fictitious name; a pseudonym
nom de plume	a pseudonym used by a writer (pen name)
non compos mentis	not of sound mind and hence not legally responsible; mentally incompetent
non sequitur	an inference or conclusion that does not follow from the premises or evidence; a statement that does not follow logically from what preceded
nonchalant	seeming to be coolly unconcerned or indifferent
nondescript	belonging or appearing to belong to no particular class or kind : not easily described
nonsense	words or language having no meaning or conveying no intelligible ideas
nostalgia	a bittersweet longing for things, persons, or situations of the past; homesick
nouveau	newly or recently created, developed, or come to prominence
noxious	harmful to living things; injurious to health; harmful to the mind or morals; corrupting
nuance	subtle or slight degree of difference, as in meaning, feeling, or tone; a gradation
nubile	sexually mature and very attractive (used of young women); of a marriageable age or condition
nugatory	of little or no importance; trifling; having no force; invalid
numinous	having a mysterious power that suggests the presence of a spirit or god
nymph	minor goddess of the sea, woods, etc.developed wings
nymphomania	excessive and uncontrollable sexual desire in women
obdurate	hardened in wrongdoing or wickedness; stubbornly impenitent; hardened against feeling; hardhearted
obfuscate	to make so confused or opaque as to be difficult to perceive or understand
oblique	having a slanting or sloping direction, course, or position; inclined
oblivion	the condition or quality of being completely forgotten
oblivious	lacking all memory; forgetful; lacking conscious awareness; unmindful
obscure	deficient in light; dark; so faintly perceptible as to lack clear delineation; indistinct; ambiguous or vague
obsequious	full of or exhibiting servile compliance; fawning
obstinate	stubbornly adhering to an attitude, an opinion, or a course of action; obdurate; difficult to manage, control, or subdue
obstreperous	noisily and stubbornly defiant; aggressively boisterous
obtrude	to impose (oneself or one's ideas) on others with undue insistence or without invitation; to thrust out; push forward
obtuse	lacking quickness of perception or intellect; not sharp, pointed, or acute in form; blunt
obviate	make unnecessary; get rid off (difficulty)
ode	poem of lofty style
odious	hateful; disgusting
Oedipus complex	in psychoanalysis, a subconscious sexual desire in a child, especially a male child, for the parent of the opposite sex, usually accompanied
officinal	tending or used to cure disease or relieve pain : medicinal
officious	excessive eagerness in offering unwanted services or advice to others
olfactory	of or relating to the sense of smell
oligarchy	government by a few, especially by a small faction of persons or families
ombudsman	a man who investigates complaints, reports findings, and mediates fair settlements, especially between aggrieved parties such as consumers o
omega	24th letter of the Greek alphabet; the end
ominous	menacing; threatening; an omen, especially an evil one
omnivorous	eating both animal and vegetable foods; taking in everything available
omphaloskepsis	'contemplation of one's navel as an aid to meditation; navel-gazing; from Greek omphalos (navel) + skepsis (act of looking, examination)
ontology	study of being; study of what is; branch of philosophy that investigates the nature of existence
oppress	to keep down by severe and unjust use of force or authority; to weigh heavily on
optimism	a tendency to expect the best possible outcome or dwell on the most hopeful aspects of a situation
opulent	possessing great wealth; affluent; characterized by rich abundance; luxuriant
opus	a musical work, especially one of a numbered series by the same composer arranged to show the order in which they were written or cataloged
orate	to speak in a formal, pompous manner
ordinal	relating to a thing's position in a series : relating to an ordinal number
orifice	an opening, especially to a cavity or passage of the body; a mouth or vent
orotund	pompous and bombastic; full in sound; sonorous
orthodox	adhering to the accepted or traditional and established faith, especially in religion
orthogonal	intersecting or lying at right angles In orthogonal cutting, the cutting edge is perpendicular to the direction of tool travel.
osmosis	the gradual, often unconscious, absorption of knowledge or ideas through continual exposure rather than deliberate learning
ostentation	pretentious display meant to impress others; boastful showiness
ostracize	to exclude from a group; to banish
otiose	lazy; indolent; of no use; ineffective; futile
outrageous	exceeding the limits of what is usual : going beyond all standards of what is right or decent
outre	violating convention or propriety; bizarre
over	for a still stronger reason; all the more
overt	open and observable; not hidden, concealed, or secret
ozone	A blue gaseous allotrope of oxygen, O3, formed naturally from diatomic oxygen by electric discharge or exposure to ultraviolet radiation. It
PABA	a crystalline para form of aminobenzoic acid that is part of the vitamin B complex and is widely used in sunscreens to absorb ultraviolet li
pabulum	a substance that gives nourishment; food; insipid intellectual nourishment
pagan	one who has no religion; a heathen
paladin	a paragon of chivalry; a heroic champion; a strong supporter or defender of a cause
palaver	idle chatter; talk intended to charm or beguile
paleo	ancient; prehistoric; old
Paleozoic	the era of geologic time that includes the Cambrian, Ordovician, Silurian, Devonian, Mississippian, Pennsylvanian, and Permian periods and i
palindrome	a word, phrase, verse, or sentence that reads the same backward or forward
palisade	a fence of pales forming a defense barrier or fortification; a line of lofty, steep cliffs, usually along a river
pallbearer	one of the persons carrying or attending a coffin at a funeral
palliate	to make (an offense or crime) seem less serious; extenuate; to make less severe or intense; mitigate
pallid	an abnormally pale or wan complexion; lacking intensity of color or luminousness
pallor	extreme or unnatural paleness
palpable	capable of being handled, touched, or felt; tangible; easily perceived; obvious
palpate	to examine or explore by touching (an organ or area of the body), usually as a diagnostic aid
palpitate	to move with a slight tremulous motion; tremble, shake, or quiver; to beat with excessive rapidity; throb
paltry	lacking in importance or worth; trivial; wretched or contemptible
panacea	a remedy for all diseases, evils, or difficulties; a cure-all
panache	dash; verve; a bunch of feathers or a plume, especially on a helmet
pandemonium	wild uproar or noise; a very noisy place
pander	to act as a go-between or liaison in sexual intrigues; function as a procurer; to cater to the lower tastes and desires of others or exploit
Pandora	Greek Mythology - the first woman, bestowed upon humankind as a punishment for Prometheus's theft of fire. Entrusted with a box containing a
panoply	a splendid or striking array; ceremonial attire with all accessories
panorama	an unbroken view of an entire surrounding area; a mental vision of a series of events
pantheism	belief in and worship of all gods
pantheon	temple of all the gods; the gods of a people
par	an amount or a level considered to be average; a standard
par excellence	the best or truest of a kind; quintessential
parable	story that tells moral lesson by offering comparison
paradigm	an example that serves as pattern or model
paradox	a seemingly contradictory statement that may nonetheless be true
paragon	a model of excellence or perfection of a kind; a peerless example
parasympathetic nervous system	the part of the autonomic nervous system originating in the brain stem and the lower part of the spinal cord that, in general, inhibits or o
parhelion	a bright spot sometimes appearing on either side of the sun, often on a luminous ring or halo
pari passu	at an equal pace; side by side
parity	equality, as in amount, status, or value
parlance	a particular manner of speaking; idiom
parley	a discussion or conference, especially one between enemies over terms of truce or other matters
parody	a literary or artistic work that imitates the characteristic style of an author or a work for comic effect or ridicule
paroxysm	a sudden outburst of emotion or action; a sudden attack, recurrence, or intensification of a disease
parsimonious	very frugal or ungenerous
partisan	a fervent, sometimes militant supporter or proponent of a party, cause, faction, person, or idea
partite	divided into parts
pastoral	of or relating to shepherds or herders; of or relating to a pastor or the duties of a pastor
pathetic	arousing sympathetic sadness and compassion
patho-	disease; suffering
pathogen	an agent that causes disease, especially a living microorganism such as a bacterium or fungus
patriarch	a man who rules a family, clan, or tribe
patronize	to treat in a condescending manner
pecuniary	of or relating to money
pedant	one who pays undue attention to book learning and formal rules; one who exhibits one's learning or scholarship ostentatiously
pedantic	characterized by a narrow, often ostentatious concern for book learning and formal rules
peevish	querulous or discontented; ill-tempered; contrary; fractious
pejorative	tending to make or become worse; disparaging; belittling
pellucid	admitting the passage of light; transparent or translucent; transparently clear in style or meaning
peloria	an abnormal often hereditary regularity of structure occurring in normally irregular flowers
peloric	having peloria : abnormally regular or symmetrical
pence	British - plural of penny
penchant	a definite liking; a strong inclination
penitence	regret for wrongdoing
penitent	feeling or expressing remorse for one's misdeeds or sins
pensive	deeply, often wistfully or dreamily thoughtful
pensive	musingly or dreamily thoughtful; suggestive of sad thoughtfulness
Pentecost	the seventh Sunday after Easter, commemorating the descent of the Holy Spirit upon the disciples
penultimate	next to last
per annum	by the year; annually
per capita	per unit of population; per person
per diem	by the day; per day
per se	by itself or oneself; intrinsically
perennial	lasting or active through the year or through many years
perfunctory	done routinely and with little interest or care
peristalsis	a wavelike muscular contraction that moves food through the digestive system
permeable	capable of being permeated : penetrable; especially : having pores or openings that permit liquids or gases to pass through
Permian	the geologic time, system of rocks, and sedimentary deposits of the seventh and last period of the Paleozoic Era
permissive	granting or inclined to grant permission; tolerant or lenient
pernicious	tending to cause death or serious injury; deadly; causing great harm; destructive
perpetrate	to be responsible for; commit
perpetual	lasting for eternity
perpetuate	to cause to continue indefinitely; make perpetual; to prolong the existence of; cause to be remembered
perpetuity	time without end; eternity
persevere	to persist in or remain constant to a purpose, an idea, or a task in the face of obstacles or discouragement
personify	to think of or represent (an inanimate object or abstraction) as having personality or the qualities, thoughts, or movements of a living bei
perspicacious	having quick and clear understanding
perspicuous	clearly expressed or presented; easy to understand
pert	trim and stylish in appearance; jaunty; high-spirited; vivacious
pertinacious	holding tenaciously to a purpose, belief, opinion, or course of action; stubbornly or perversely persistent
pertinent	having logical, precise relevance to the matter at hand
perturb	to disturb greatly; make uneasy or anxious; to throw into great confusion
peruse	read or examine, typically with great care
pervious	open to passage or entrance; permeable; open to arguments, ideas, or change; approachable
pessimism	a tendency to stress the negative or unfavorable or to take the gloomiest possible view
pestiferous	producing or breeding infectious disease; morally evil or deadly; pernicious
pestilence	a usually fatal epidemic disease, especially bubonic plague; a pernicious, evil influence or agent
pestilent	tending to cause death; deadly
petrol	gasoline
pettish	ill-tempered; peevish
petty	of small importance; trivial; marked by narrowness of mind, ideas, or views
petulant	unreasonably irritable or ill-tempered; peevish; contemptuous in speech or behavior
phalanx	a compact or close-knit body of people; a formation of infantry carrying overlapping shields and long spears
phantasm	illusion; ghost
phantasmagoria	a fantastic sequence of haphazardly associative imagery, as seen in dreams or fever
philander	to engage in many love affairs, especially with a frivolous or casual attitude
philanthropic	humanitarian; organized to provide humanitarian or charitable assistance
philanthropy	the effort or inclination to increase the well-being of humankind, as by charitable aid or donations
philosophy	love and pursuit of wisdom by intellectual means and moral self-discipline; the investigation of causes and laws underlying reality
phoneme	a speech sound that distinguishes one word from another, for example, the sounds "d" and "t" in the words "bid" and "bit"
pillage	to rob of goods by force, especially in time of war; plunder; to take as spoils
pillory	a wooden frame for public punishment having holes in which the head and hands can be locked; a means for exposing one to public scorn or ridicule
pinnacle	a small turret or spire on a roof or buttress; a tall, pointed formation; the highest point; the culmination
pious	earnestly compliant in the observance of religion; devout
piquant	pleasantly pungent or tart in taste; spicy; appealingly provocative; charming, interesting, or attractive
pique	to provoke; arouse; to cause to feel resentment or indignation
pissant	an insignificant person or thing
pith	the essential or central part; the heart or essence
pithy	precisely meaningful; forceful and brief
placable	easily calmed or pacified; tolerant
placate	to allay the anger of, especially by making concessions; appease
plaintive	expressive of suffering or woe : melancholy
plangent	having a loud reverberating sound; having an expressive and especially plaintive quality
platitude	a trite or banal remark or statement, especially one expressed as if it were original or significant
Pleistocene	the geologic time, rock series, and sedimentary deposits of the earlier of the two epochs of the Quaternary Period, characterized by the alt
plenary	complete in all respects; unlimited or full; fully attended by all qualified members
plenipotentiary	invested with or conferring full powers; a diplomatic agent, such as an ambassador, fully authorized to represent his or her government
plenitude	an ample amount or quantity; an abundance
plenteous	abundant; copious
plethora	a superabundance; an excess
pliant	easily bent or flexed; pliable
ploy	a tactic intended to embarrass or frustrate an opponent : a devised or contrived move : stratagem
plunder	to rob of goods by force, especially in time of war; pillage
podium	an elevated platform, as for an orchestra conductor or a public speaker; a lectern
poignant	(painfully) sharp or touching; profoundly moving
poise	to carry or hold in equilibrium; balance
polarize	to cause to concentrate about two conflicting or contrasting positions
polymath	a person of great or varied learning
pomp	ceremony and splendid display, especially at a public event
pompous	excessive self-esteem or exaggerated dignity; pretentious; full of high-sounding phrases; bombastic
ponder	to weigh in the mind with thoroughness and care
ponderous	having great weight; lacking grace or fluency; labored and dull
pontificate	to express opinions or judgments in a dogmatic way
pooh-bah	a person holding many public or private offices; a person in high position or of great influence
popinjay	a strutting supercilious person 
portent	an indication of something important or calamitous about to occur; an omen; prophetic or threatening significance
portentous	foreboding; full of unspecifiable significance; exciting wonder and awe
posh	smart and fashionable
posit	to put forward, as for consideration or study; suggest
posse	a group of people summoned by a sheriff to aid in law enforcement; a search party
post meridiem	after noon; P.M., p.m.
post mortem	after death
postpartum	the period shortly after childbirth
postulate	to assume or assert the truth, reality, or necessity of, especially as a basis of an argument
potentate	ruler of great power
pother	a commotion; a disturbance; a state of nervous activity; a fuss; a cloud of smoke or dust that chokes or smothers
potpourri	a combination of incongruous things; a mixture of dried flower petals and spices used to scent the air
pragmatic	dealing or concerned with facts or actual occurrences; practical
praxis	practical application or exercise of a branch of learning; habitual or established practice; custom
pray	to utter or address a prayer or prayers to God; to make a fervent request or an entreaty
prayer	an act of communion with God; a reverent petition made to God
precarious	dangerously lacking in security or stability; subject to chance or unknown conditions
precept	a rule or principle prescribing a particular course of action or conduct
precipice	an overhanging or extremely steep mass of rock, such as a crag or the face of a cliff; the brink of a dangerous or disastrous situation
precis	a summary of something's main points
precocious	unusually early development or maturity, especially in mental aptitude
predestination	the doctrine that God in consequence of his foreknowledge of all events infallibly guides those who are destined for salvation
predicate	to base or establish (a statement or an action, for example)
predilection	a partiality or disposition in favor of something; a preference
pregnable	being such that attack, seizure, or capture is possible; vulnerable or assailable
prerogative	exclusive right or privilege held by a person or group, especially a hereditary or official right
presage	indication or a warning of a future occurrence; an omen
prescribe	to lay down a rule; dictate : to write or give medical prescriptions
prestige	the level of respect at which one is regarded by others; standing
presumptuous	going beyond what is right or proper; excessively forward
pretense	false appearance or action intended to deceive
pretentious	claiming or demanding a position of distinction or merit, especially when unjustified
preternatural	existing outside of nature; exceeding what is natural or regular : extraordinary; inexplicable by ordinary means; especially : psychic
prevalant	widely or commonly occurring, existing, accepted, or practiced
prevaricate	speak or act in an evasive way
prima facie	true, authentic, or adequate at first sight; evident without proof or reasoning; obvious
